"Date","R15_Surf","R15_RZ","R51_Surf","R51_RZ","R53_Surf","R53_RZ","R55_Surf","R55_RZ","R60_Surf","R60_RZ","R61_Surf","R61_RZ","R74_Surf","R74_RZ","SurfaceM"
2007-01-01,0.381061111111111,0.732844536783074,0.226445454545455,0.437191111595735,0.27545,0.5174942762405,0.200218181818182,0.50442179498589,0.291107638888889,0.383857747468027,0.22204375,0.583856454506729,0.1804125,0.349260506764249,0.099
2007-01-02,0.382975694444444,0.735737278661839,0.220214583333333,0.443200227613025,0.269090277777778,0.517388904950986,0.195263888888889,0.511853893063131,0.275161111111111,0.364256209802617,0.213254166666667,0.583003810660101,0.174190277777778,0.333209968950987,NA
2007-01-03,0.384733333333333,0.736647021942331,0.2168875,0.440411368075377,0.266372916666667,0.511930383901128,0.191259027777778,0.509824294557853,0.269515277777778,0.355519516522511,0.209102083333333,0.577755201714993,0.170965972222222,0.325126829673985,0.0985
2007-01-04,0.386071527777778,0.737214821354822,0.215455555555556,0.438481023716644,0.265191666666667,0.508203512436574,0.189327777777778,0.506869732462417,0.267134027777778,0.350821967176758,0.207928472222222,0.574593677499085,0.169079411764706,0.320436577824743,0.092
2007-01-05,0.3867125,0.739425047808597,0.226534722222222,0.439374141181543,0.273045138888889,0.513219527531484,0.197847916666667,0.505237946494367,0.287618055555556,0.376436016855179,0.220024305555556,0.58108721739685,NA,NA,0.099
2007-01-06,0.387225,0.74246822276399,0.232343055555556,0.452494147877798,0.27603125,0.526965560324355,0.204871527777778,0.521616283239136,0.28990625,0.386471039402676,0.220603472222222,0.597368692119602,0.180591818181818,0.34768281618581,0.093
2007-01-07,0.388660416666667,0.744258281481718,0.226344444444444,0.448539518527496,0.272643055555556,0.518931927858006,0.198071527777778,0.516972206801307,0.284014583333333,0.374179880978783,0.215725,0.622936897730992,0.177375,0.340579951208694,0.096
2007-01-08,0.389710416666667,0.744389567326479,0.236754166666667,0.458500942607696,0.278920138888889,0.532797503773153,0.207092361111111,0.534995166543535,0.295016666666667,0.392691930952909,0.228436111111111,0.667528564156992,0.183022222222222,0.355782185628743,0.0895
2007-01-09,0.390471527777778,0.744353642087087,0.222171527777778,0.446182943561331,0.269416666666667,0.516930733676899,0.195343055555556,0.518103913663591,0.277690972222222,0.365628927330524,0.216770833333333,0.647574981288146,0.17395,0.332691561321801,NA
2007-01-10,0.390627083333333,0.745606300328301,0.218690277777778,0.439220107189524,0.266653472222222,0.510371260396332,0.19219375,0.511691685042277,0.271696527777778,0.356442670215125,0.212075,0.629467968133291,0.171375,0.326091566866267,0.0985
2007-01-11,0.390889583333333,0.746114708820236,0.215621527777778,0.434669202238733,0.264769230769231,0.50660897684343,0.189270833333333,0.507485244773487,0.266411650485437,0.350386605429917,0.206104166666667,0.620288054255954,0.16811862745098,0.318831943955227,0.077
2007-01-12,0.390879746835443,0.746524762456945,0.214950694444444,0.432098589482882,0.2646875,0.504427834357849,0.188011805555556,0.504716581227731,0.268909090909091,0.34896872920825,0.206448611111111,0.604592809593947,NA,NA,0.099
2007-01-13,NA,NA,0.221929861111111,0.431288684734371,0.269688194444444,0.505481979565223,0.192509722222222,0.502923699663659,0.279520833333333,0.359569287351224,0.223315277777778,0.589663789794278,0.173205714285714,0.324816082121471,0.099
2007-01-14,NA,NA,0.227710416666667,0.435778999737102,0.273876388888889,0.513068461713909,0.199326388888889,0.503180784573811,0.286029861111111,0.378896373918829,0.223798611111111,0.589318939645546,NA,NA,0.099
2007-01-15,NA,NA,0.233714583333333,0.447253987966945,0.276945833333333,0.525309576588117,0.204036111111111,0.520058711899155,0.292150694444444,0.390481074887263,0.227081944444444,0.59761388058588,NA,NA,0.099
2007-01-16,NA,NA,0.226044444444444,0.448651575998764,0.271821527777778,0.522264008149585,0.198668055555556,0.520213645014759,0.281963888888889,0.372964718710727,0.216734722222222,0.615369046200832,0.176245,0.336387225548902,NA
2007-01-17,NA,NA,0.219433333333333,0.441823707594007,0.2674375,0.513657582206066,0.192277777777778,0.513376355333683,0.272745833333333,0.358464090337843,0.208140972222222,0.619413390888831,NA,NA,0.091
2007-01-18,NA,NA,0.215884722222222,0.436754254440546,0.265311805555556,0.508707814800974,0.189034722222222,0.508469331683413,0.267638888888889,0.35132050713388,0.203759722222222,0.613305625048133,NA,NA,NA
2007-01-19,NA,NA,0.214836805555556,0.433417892172761,0.264479861111111,0.505516842681441,0.187431468531469,0.505138589241721,0.266952777777778,0.348170326014637,0.2045625,0.597718826411752,NA,NA,0.099
2007-01-20,NA,NA,0.213670138888889,0.430750305820323,0.263409722222222,0.503076341619913,0.186275,0.502965250791175,0.264013888888889,0.344844108080136,0.203407638888889,0.579868761311346,NA,NA,0.095
2007-01-21,0.390889830508475,0.749888638862344,0.211253472222222,0.428443648130147,0.261890277777778,0.501027657399085,0.183282638888889,0.501109061071064,0.259520138888889,0.340620148591705,0.198849305555556,0.569100737463659,NA,NA,0.093
2007-01-22,0.390955555555556,0.74964078772316,0.2089625,0.426261596749451,0.260792361111111,0.499197342365294,0.180330555555556,0.499706128554403,0.258142361111111,0.338111739483995,0.195269444444444,0.565914359874083,NA,NA,0.099
2007-01-23,0.3909,0.750018670046627,0.2090875,0.424572054052075,0.260752777777778,0.497581874896541,0.180520833333333,0.498327472208214,0.259294444444444,0.337314722407038,0.197345833333333,0.565031752993897,NA,NA,0.099
